@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute bow_accel numeric
@attribute bow_accel2 {0,1,2,3,4,5}
@attribute volume numeric
@attribute volume2 {0,1,2,3,4,5}
@attribute notes numeric
@attribute notes2 {0,1,2,3,4,5}

@data
2103,'2024/04/24 13:40:47:270',3,-16,-9,-9,-0.76,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2104,'2024/04/24 13:40:47:272',3,-16,-9,-9,-0.76,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2105,'2024/04/24 13:40:47:279',3,-16,-9,-9,-0.76,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2106,'2024/04/24 13:40:47:293',3,-16,-9,-9,-0.76,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2107,'2024/04/24 13:40:47:296',3,-16,-9,-9,-0.76,-0.43,-0.43,-64,74,10465.136719,?,?,?,?,?,?
2108,'2024/04/24 13:40:47:299',3,-16,-9,-9,-0.76,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2109,'2024/04/24 13:40:47:316',3,-16,-9,-9,-0.76,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2110,'2024/04/24 13:40:47:319',3,-16,-9,-9,-0.76,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2111,'2024/04/24 13:40:47:340',3,-16,-9,-9,-0.76,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2112,'2024/04/24 13:40:47:342',3,-16,-9,-9,-0.76,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2113,'2024/04/24 13:40:47:363',3,-16,-9,-9,-0.76,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2114,'2024/04/24 13:40:47:365',3,-16,-9,-9,-0.76,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2115,'2024/04/24 13:40:47:386',3,-16,-9,-9,-0.76,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2116,'2024/04/24 13:40:47:388',3,-16,-9,-9,-0.76,-0.43,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2117,'2024/04/24 13:40:47:399',3,-16,-9,-9,-0.76,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
2118,'2024/04/24 13:40:47:409',3,-16,-9,-9,-0.76,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
